"TPLName","Family","Alpine","Seed.mass","Seed.mass.rank","Embryo","Embryo.rank","Dormancy"
"Cremanthodium brunneopilosum","Compositae","Strict",1.925,"Species",1,"Family","PD"
"Cremanthodium discoideum","Compositae","Strict",1.0976,"Species",1,"Family",NA
"Cremanthodium lineare","Compositae","Generalist",1.127,"Species",1,"Family","ND"
"Cyananthus hookeri","Campanulaceae","Generalist",0.243516666666667,"Species",0.22,"Family","PD"
"Delphinium albocoeruleum","Ranunculaceae","Generalist",0.726833333333333,"Species",0.07,"Genus",NA
"Delphinium pylzowii","Ranunculaceae","Strict",0.4893,"Species",0.07,"Genus","MD"
"Delphinium souliei","Ranunculaceae","Strict",0.237,"Species",0.07,"Genus",NA
"Deschampsia cespitosa","Poaceae","Generalist",0.275916666666667,"Species",0.11,"Species","PD"
"Deyeuxia flavens","Poaceae","Generalist",0.362166666666667,"Species",0.2,"Family","PD"
"Dianthus barbatus","Caryophyllaceae","Strict",0.929325,"Genus",0.41,"Genus",NA
"Dianthus glacialis","Caryophyllaceae","Strict",0.2891,"Species",0.41,"Genus",NA
"Dianthus orientalis","Caryophyllaceae","Generalist",0.929325,"Genus",0.41,"Genus",NA
"Dichosciadium ranunculaceum","Apiaceae","Strict",1.92485,"Genus",0.06,"Family",NA
"Dicranostigma lactucoides","Papaveraceae","Strict",0.7147,"Species",0.06,"Family",NA
"Diplaspis nivis","Apiaceae","Strict",1.0392,"Species",0.06,"Family",NA
"Doronicum austriacum","Compositae","Strict",0.831975,"Genus",1,"Family",NA
"Draba eriopoda","Brassicaceae","Generalist",0.161316666666667,"Species",1,"Genus","PD"
"Draba gilliesii","Brassicaceae","Generalist",0.134833333333333,"Genus",1,"Genus",NA
"Draba hoppeana","Brassicaceae","Strict",0.134833333333333,"Genus",1,"Genus",NA
"Draba ladyginii","Brassicaceae","Generalist",0.134833333333333,"Genus",1,"Genus",NA
"Draba lanceolata","Brassicaceae","Generalist",0.0793333333333333,"Species",1,"Genus","PD"
"Draba nemorosa","Brassicaceae","Generalist",0.03015,"Species",1,"Genus",NA
"Draba norvegica","Brassicaceae","Strict",0.134833333333333,"Genus",1,"Genus",NA
"Draba oreades","Brassicaceae","Generalist",0.117666666666667,"Species",1,"Genus",NA
