,taxon.name.in.seed.sid,mass,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,taxon.new
4120,Pennisetum flaccidum Griseb.,2.0941,Pennisetum,,flaccidum,NA,NA,,Griseb.,kew-432698,TRUE,1.1,Accepted,Poaceae,Pennisetum,,flaccidum,,,Griseb.,kew-432698,Accepted,FALSE,FALSE,FALSE,13/04/2020,Pennisetum_flaccidum
4161,Phleum alpinum L. Orthodox,0.38,Phleum,,alpinum,NA,NA,,L. Orthodox,kew-433718,TRUE,1.1,Accepted,Poaceae,Phleum,,alpinum,,,L.,kew-433718,Accepted,FALSE,FALSE,FALSE,13/04/2020,Phleum_alpinum
4212,Poa alpina L. Orthodox,0.3592,Poa,,alpina,NA,NA,,L. Orthodox,kew-435085,TRUE,1.1,Accepted,Poaceae,Poa,,alpina,,,L.,kew-435085,Accepted,FALSE,FALSE,FALSE,13/04/2020,Poa_alpina
4228,Poa costiniana Vickery,0.412,Poa,,costiniana,NA,NA,,Vickery,kew-435658,TRUE,1.1,Accepted,Poaceae,Poa,,costiniana,,,Vickery,kew-435658,Accepted,FALSE,FALSE,FALSE,13/04/2020,Poa_costiniana
4242,Poa hiemata Vickery Orthodox,0.356,Poa,,hiemata,NA,NA,,Vickery Orthodox,kew-436113,TRUE,1.1,Accepted,Poaceae,Poa,,hiemata,,,Vickery,kew-436113,Accepted,FALSE,FALSE,FALSE,13/04/2020,Poa_hiemata
4260,Poa phillipsiana Vickery,0.4161,Poa,,phillipsiana,NA,NA,,Vickery,kew-436832,TRUE,1.1,Accepted,Poaceae,Poa,,phillipsiana,,,Vickery,kew-436832,Accepted,FALSE,FALSE,FALSE,13/04/2020,Poa_phillipsiana
4490,Rytidosperma nudiflorum (P.Morris) Connor & Edgar,1.275,Rytidosperma,,nudiflorum,NA,NA,,(P.Morris) Connor & Edgar,kew-439796,TRUE,1.1,Accepted,Poaceae,Rytidosperma,,nudiflorum,,,(P.Morris) Connor & Edgar,kew-439796,Accepted,FALSE,FALSE,FALSE,13/04/2020,Rytidosperma_nudiflorum
4638,Scirpus setaceus L. Orthodox,0.05,Scirpus,,setaceus,NA,NA,,L. Orthodox,kew-264876,TRUE,1.1,Synonym,Cyperaceae,Isolepis,,setacea,,,(L.) R.Br.,kew-250537,Accepted,FALSE,FALSE,FALSE,13/04/2020,Isolepis_setacea
4672,Sesleria albicans Kit. ex Schult. Orthodox,0.32,Sesleria,,albicans,NA,NA,,Kit. ex Schult. Orthodox,kew-441954,TRUE,1.1,Accepted,Poaceae,Sesleria,,albicans,,,Kit.,kew-441954,Accepted,FALSE,FALSE,FALSE,13/04/2020,Sesleria_albicans
4673,Sesleria caerulea (L.) Ard. Uncertain,1.1528,Sesleria,,caerulea,NA,NA,,(L.) Ard. Uncertain,kew-441982,TRUE,1.1,Accepted,Poaceae,Sesleria,,caerulea,,,(L.) Ard.,kew-441982,Accepted,FALSE,FALSE,FALSE,13/04/2020,Sesleria_caerulea
