Source,Taxon,Country,Region,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Bu,Adenophora liliifolioides,China,Qinghai-Tibet Plateau,35.85,102,3061,NA,0,N,N,N,Y,1,20,5,12,50,40,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2668,NA,0,N,N,N,Y,1,20,5,12,50,35,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2668,NA,0,N,N,N,Y,1,20,5,12,50,36,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2668,NA,0,N,N,N,Y,1,20,5,12,50,34,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2500,NA,0,N,N,N,Y,1,20,5,0,50,45,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2500,NA,0,N,N,N,Y,1,20,5,0,50,47,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2500,NA,0,N,N,N,Y,1,20,5,0,50,48,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2500,NA,0,N,N,N,Y,1,25,10,0,50,49,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2500,NA,0,N,N,N,Y,1,25,10,0,50,46,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2500,NA,0,N,N,N,Y,1,25,10,0,50,51,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,20,5,0,50,34,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,25,10,0,50,41,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,25,10,0,50,38,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,20,5,0,50,39,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,25,10,0,50,42,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,20,5,0,50,36,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,20,5,0,50,38,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,25,10,0,50,39,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,20,5,0,50,34,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,25,10,0,50,48,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,25,10,0,50,38,50
Bu,Adenophora potaninii,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,20,5,0,50,37,50
LiuGuja,Adenophora potaninii Korsh.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,25,5,0.5,150,133,150
LiuGuja,Adenophora potaninii Korsh.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,20,10,0.5,150,139,150
LiuGuja,Adenophora potaninii Korsh.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,15,15,0.5,150,117,150
Bu,Adenophora stenanthina,China,Qinghai-Tibet Plateau,35.85,102,2960,NA,0,N,N,N,Y,1,20,5,12,50,42,50
Bu,Adenophora stenanthina,China,Qinghai-Tibet Plateau,35.85,102,2960,NA,0,N,N,N,Y,1,20,5,12,50,43,50
Bu,Adenophora stenanthina,China,Qinghai-Tibet Plateau,35.85,102,2960,NA,0,N,N,N,Y,1,20,5,12,50,46,50
Bu,Adenophora stenanthina,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,20,5,0,50,4,50
Bu,Adenophora stenanthina,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,20,5,0,50,7,50
Bu,Adenophora stenanthina,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,25,10,0,50,6,50
Bu,Adenophora stenanthina,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,25,10,0,50,6,50
Bu,Adenophora stenanthina,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,25,10,0,50,6,50
Bu,Adenophora stenanthina,China,Qinghai-Tibet Plateau,35.85,102,3050,NA,0,N,N,N,Y,1,20,5,0,50,4,50
LiuGuja,Adenophora stenanthina (Ledeb.) Kitag.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,25,5,0.5,150,142,150
LiuGuja,Adenophora stenanthina (Ledeb.) Kitag.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,20,10,0.5,150,98,150
