ID,Family ,Species,loggevity,dispersal mode,altitude(m),"seed mass (g,100seeds)-sample1","seed mass (g,100seeds)-sample2","seed mass (g,100seeds)-sample3"
1.62,Gentianaceae ,Gentiana striata ,A,unassisted,3011,0.061,0.0537,0.057
25.19,Juncaceae ,Luzula multiflora,P,unassisted,3472,0.0609,0.0563,0.0556
13.11,Asteraceae,Nepallasia pectinata,A,wind,2380,0.0558,0.0555,0.0616
13.57,Asteraceae,Taraxacum cdanthodium,P,wind,2514,0.062,0.0521,0.0598
13.21,Asteraceae,Aster diplostephioides ,P,wind,3550,0.0648,0.0566,0.0532
2.12,Ranunculaceae,Delphinium kamaoense var.glabrescens,P,unassisted,3550,0.0575,0.0573,0.0608
29.01,Scrophulariaceae,Pedicularis ingens ,P,unassisted,3061,0.0573,0.0608,0.058
2.38,Urticaceae,Urtica cannabina ,P,unassisted,2220,0.0586,0.0584,0.0592
2.166,Scrophulariaceae,Pedicularis lasiophrys var. sinica ,P,unassisted,3623,0.0586,0.0527,0.0653
6.06,Lamiaceae,Amethystea caerulea,A,unassisted,2202,0.0567,0.0616,0.0589
10.2,Poaceae,Festuca rubra,P,unassisted,3530,0.0625,0.0553,0.0605
13.64,Asteraceae,Senecio arguneesis,P,wind,2202,0.0612,0.0567,0.0612
2.162,Cyperaceae,Carex enervis,P,unassisted,3530,0.0607,0.0601,0.06
2.171,Scrophulariaceae,Pedicularis kansuensis ,A,unassisted,2960,0.0582,0.0667,0.058
4.001,Papaveraceae,Picranostigma leptopoyum ,A,unassisted,2691,0.0616,0.0593,0.0623
14.06,Asteraceae,Axyris prostrota L.,A,unassisted,3526,0.059,0.064,0.0608
6.04,Lamiaceae,Lamium amplexicaule ,A,unassisted,2954,0.074,0.0597,0.0533
4.16,Scrophulariaceae,Pedicularis sp3,P,unassisted,2950,0.0618,0.0589,0.0665
2.69,Asteraceae,Ligularia sagitta,P,wind,3021,0.0619,0.0621,0.0633
10.47,Poaceae,Achnatherum splenolens ,P,unassisted,2380,0.066,0.0563,0.0657
1.74,Ranunculaceae,Delphinium albocoeruleum ,P,unassisted,3740,0.0621,0.0619,0.0646
2.138,Poaceae,Ptilagrostis concinna ,P,wind,3903,0.0674,0.0639,0.0574
25.15,Poaceae,Echinochloa crusgalli var. mitis,A,unassisted,3903,0.0528,0.0658,0.0713
