"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Name","Longevity","Dispersal","Elevation","Days","Germinated","Tmax","Tmin","Light"
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",2100,60,1,20,5,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",3000,60,21,25,10,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",3000,60,23,20,5,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",2100,60,0,20,5,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",3000,60,22,20,5,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",3000,60,22,25,10,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",2100,60,1,20,5,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",2100,60,4,25,10,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",2100,60,2,25,10,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",2100,60,2,25,10,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",3000,60,25,20,5,0
"Aconitum gymnandrum Maxim","Aconitum","","gymnandrum",NA,NA,"","Maxim","kew-2618782",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","gymnandrum","","","Maxim.","kew-2618782","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum gymnandrum","A","unassisted",3000,60,26,25,10,0
"Aconitum sinomontanum Nakai","Aconitum","","sinomontanum",NA,NA,"","Nakai","kew-2619523",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","sinomontanum","","","Nakai","kew-2619523","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum sinomontanum","P","unassisted",2200,60,9,20,5,0
"Aconitum sinomontanum Nakai","Aconitum","","sinomontanum",NA,NA,"","Nakai","kew-2619523",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","sinomontanum","","","Nakai","kew-2619523","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum sinomontanum","P","unassisted",2200,60,23,25,10,0
"Aconitum sinomontanum Nakai","Aconitum","","sinomontanum",NA,NA,"","Nakai","kew-2619523",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","sinomontanum","","","Nakai","kew-2619523","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum sinomontanum","P","unassisted",2200,60,18,25,10,0
"Aconitum sinomontanum Nakai","Aconitum","","sinomontanum",NA,NA,"","Nakai","kew-2619523",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","sinomontanum","","","Nakai","kew-2619523","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum sinomontanum","P","unassisted",2200,60,10,20,5,0
"Aconitum sinomontanum Nakai","Aconitum","","sinomontanum",NA,NA,"","Nakai","kew-2619523",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","sinomontanum","","","Nakai","kew-2619523","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum sinomontanum","P","unassisted",2200,60,6,20,5,0
"Aconitum sinomontanum Nakai","Aconitum","","sinomontanum",NA,NA,"","Nakai","kew-2619523",TRUE,"1.1","Accepted","Ranunculaceae","Aconitum","","sinomontanum","","","Nakai","kew-2619523","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum sinomontanum","P","unassisted",2200,60,22,25,10,0
"Aconitum sungpanense Hand.-Mazz.","Aconitum","","sungpanense",NA,NA,"","Hand.-Mazz.","kew-2619578",TRUE,"1.1","Synonym","Ranunculaceae","Aconitum","","henryi","","","E.Pritz. ex Diels","kew-2618812","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum henryi","P","unassisted",2300,60,0,20,5,0
"Aconitum sungpanense Hand.-Mazz.","Aconitum","","sungpanense",NA,NA,"","Hand.-Mazz.","kew-2619578",TRUE,"1.1","Synonym","Ranunculaceae","Aconitum","","henryi","","","E.Pritz. ex Diels","kew-2618812","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum henryi","P","unassisted",2300,60,0,25,10,0
"Aconitum sungpanense Hand.-Mazz.","Aconitum","","sungpanense",NA,NA,"","Hand.-Mazz.","kew-2619578",TRUE,"1.1","Synonym","Ranunculaceae","Aconitum","","henryi","","","E.Pritz. ex Diels","kew-2618812","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Aconitum henryi","P","unassisted",2300,60,0,20,5,0
