ID,Germinated,Days,Tmax,Tmin,Light
2.1,5,40,20,5,12
2.1,5,40,20,5,12
2.1,5,40,20,5,12
2.01,36,40,20,5,12
2.01,43,40,20,5,12
2.01,41,40,20,5,12
2.101,48,40,20,5,12
2.101,49,40,20,5,12
2.101,50,40,20,5,12
2.102,50,40,20,5,12
2.102,48,40,20,5,12
2.102,48,40,20,5,12
2.103,35,40,20,5,12
2.103,35,40,20,5,12
2.103,28,40,20,5,12
2.104,7,40,20,5,12
2.104,11,40,20,5,12
2.104,10,40,20,5,12
2.105,47,40,20,5,12
2.105,49,40,20,5,12
2.105,45,40,20,5,12
2.106,49,40,20,5,12
2.106,50,40,20,5,12
2.106,50,40,20,5,12
2.107,48,40,20,5,12
2.107,48,40,20,5,12
2.107,48,40,20,5,12
2.108,45,40,20,5,12
2.108,45,40,20,5,12
2.108,42,40,20,5,12
2.109,42,40,20,5,12
2.109,44,40,20,5,12
2.109,49,40,20,5,12
2.11,4,40,20,5,12
2.11,9,40,20,5,12
2.11,15,40,20,5,12
2.011,10,40,20,5,12
2.011,10,40,20,5,12
2.011,5,40,20,5,12
2.111,46,40,20,5,12
2.111,44,40,20,5,12
2.111,37,40,20,5,12
2.112,41,40,20,5,12
2.112,39,40,20,5,12
2.112,46,40,20,5,12
2.113,47,40,20,5,12
2.113,49,40,20,5,12
2.113,49,40,20,5,12
2.114,48,40,20,5,12
2.114,49,40,20,5,12
2.114,49,40,20,5,12
2.115,46,40,20,5,12
2.115,47,40,20,5,12
2.115,47,40,20,5,12
2.116,46,40,20,5,12
2.116,36,40,20,5,12
2.116,46,40,20,5,12
2.117,20,40,20,5,12
2.117,18,40,20,5,12
2.117,29,40,20,5,12
2.118,16,40,20,5,12
2.118,14,40,20,5,12
2.118,10,40,20,5,12
2.119,9,40,20,5,12
2.119,9,40,20,5,12
2.119,10,40,20,5,12
2.12,48,40,20,5,12
2.12,46,40,20,5,12
2.12,45,40,20,5,12
