Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable
Astragalus_penduliflorus,,,WARS_005/01,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,390,500
Astragalus_penduliflorus,,,WARS_007/00,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,425,500
Aubrieta_thessala,,,BBGK_98_254,Greece,,,,,,N,N,N,Y,N,21,21,60,100
Aubrieta_thessala,,,BBGK_98_254,Greece,,,,,,N,N,N,N,N,21,21,80,100
Betula_nana,,,K_130947,United-Kingdom,,,,,,N,N,N,Y,N,31,31,38,41
Biebersteinia_orphanidis,,,NKUA_GR1-7,Greece,,,,,,N,N,N,N,N,5,5,0,20
Biebersteinia_orphanidis,,,NKUA_GR1-7,Greece,,,,,,N,N,N,N,N,5,5,2,100
Biebersteinia_orphanidis,,,NKUA_GR1-7,Greece,,,,,,Y,N,N,N,N,5,5,74,100
Biebersteinia_orphanidis,,,NKUA_GR1-7,Greece,,,,,,Y,N,N,N,N,5,5,82,100
Biebersteinia_orphanidis,,,NKUA_GR1-7,Greece,,,,,,N,N,N,N,N,10,10,2,100
Biebersteinia_orphanidis,,,NKUA_GR1-7,Greece,,,,,,Y,N,N,N,N,10,10,61,100
Biebersteinia_orphanidis,,,NKUA_GR1-7,Greece,,,,,,Y,N,Y,N,N,15,15,14,40
Biebersteinia_orphanidis,,,NKUA_GR1-7,Greece,,,,,,N,N,Y,N,N,15,15,0,40
Biebersteinia_orphanidis,,,NKUA_GR1-7,Greece,,,,,,Y,N,Y,N,N,25,25,22,100
Bupleurum_marschallianum,,,K_369237,Georgia,,,,,,N,N,N,Y,N,5,5,0,20
Bupleurum_marschallianum,,,K_369237,Georgia,,,,,,N,N,N,Y,Y,15,15,0,18
Bupleurum_marschallianum,,,K_369237,Georgia,,,,,,N,Y,N,Y,Y,15,15,9,20
Bupleurum_marschallianum,,,K_369237,Georgia,,,,,,N,Y,Y,Y,Y,15,15,12,13
Calamagrostis_arundinacea,,,K_62859,Italy,,,,,,Y,Y,N,Y,Y,16,16,17,20
Calamagrostis_arundinacea,,,K_62859,Italy,,,,,,Y,Y,N,Y,Y,16,16,20,20
Calamagrostis_arundinacea,,,K_62859,Italy,,,,,,Y,Y,N,Y,Y,21.66666667,21.66666667,15,20
Calamagrostis_purpurea,,,K_129547,United-Kingdom,,,,,,N,N,Y,Y,Y,16,16,20,25
Calamagrostis_purpurea,,,K_129558,United-Kingdom,,,,,,N,N,Y,Y,Y,16,16,8,9
Campanula_alliariifolia,,,K_369606,Georgia,,,,,,N,Y,N,Y,Y,15,15,13,20
Campanula_alliariifolia,,,K_369606,Georgia,,,,,,N,Y,N,Y,N,15,15,15,20
Campanula_alliariifolia,,,K_369606,Georgia,,,,,,N,Y,N,Y,N,20,20,3,20
Campanula_hemschinica,,,K_413071,Georgia,,,,,,N,N,N,Y,N,15,15,19,20
Campanula_hemschinica,,,K_413071,Georgia,,,,,,N,N,N,Y,Y,15,15,20,20
Campanula_hemschinica,,,K_413071,Georgia,,,,,,N,N,N,Y,N,20,20,18,20
Campanula_jacquinii,,,CHAN_0240,Greece,,,,,,N,N,N,Y,N,10,10,22,77
Campanula_jacquinii,,,CHAN_0240,Greece,,,,,,N,N,N,N,N,15,15,45,85
Campanula_jacquinii,,,CHAN_0240,Greece,,,,,,N,N,N,Y,N,15,15,55,76
Campanula_jacquinii,,,K_157616,Greece,,,,,,N,N,N,Y,N,15,15,1,10
Campanula_jacquinii,,,CHAN_0240,Greece,,,,,,N,N,N,Y,N,20,20,65,83
Campanula_jacquinii,,,K_157616,Greece,,,,,,N,N,N,Y,N,20,20,9,10
Campanula_latifolia,,,K_28477,Austria,,,,,,N,Y,Y,Y,Y,15,15,13,20
Campanula_latifolia,,,K_28477,Austria,,,,,,N,Y,N,Y,Y,15,15,16,20
Campanula_latifolia,,,K_92472,United-Kingdom,,,,,,N,N,N,Y,N,16,16,0,50
Campanula_latifolia,,,K_92472,United-Kingdom,,,,,,N,N,N,Y,Y,16,16,0,45
