Original,Spelling,Original.clean,TPLName,Familia,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Digitaria ciliaris,Digitaria ciliaris,Digitaria ciliaris,Digitaria ciliaris,Poaceae,Digitaria,NA,ciliaris,NA,NA,,,kew-408848,TRUE,1.1,Accepted,Poaceae,Digitaria,,ciliaris,,,(Retz.) Koeler,kew-408848,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Digitaria ciliaris (Retz.) Koel.,Digitaria ciliaris (Retz.) Koel.,Digitaria ciliaris,Digitaria ciliaris,Poaceae,Digitaria,NA,ciliaris,NA,NA,,(Retz.) Koel.,kew-408848,TRUE,1.1,Accepted,Poaceae,Digitaria,,ciliaris,,,(Retz.) Koeler,kew-408848,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Digitaria sanguinalis,Digitaria sanguinalis,Digitaria sanguinalis,Digitaria sanguinalis,Poaceae,Digitaria,NA,sanguinalis,NA,NA,,,kew-409361,TRUE,1.1,Accepted,Poaceae,Digitaria,,sanguinalis,,,(L.) Scop.,kew-409361,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Diplaspis nivis,Diplaspis nivis,Diplaspis nivis,Diplaspis nivis,Apiaceae,Diplaspis,NA,nivis,NA,NA,NA,NA,,FALSE,1.1,,,Diplaspis,NA,nivis,NA,,,,,FALSE,FALSE,FALSE,18/04/2020,Genus
Dipsacus chinensis,Dipsacus chinensis,Dipsacus chinensis,Dipsacus chinensis,Caprifoliaceae,Dipsacus,NA,chinensis,NA,NA,,,kew-2771841,TRUE,1.1,Accepted,Caprifoliaceae,Dipsacus,,chinensis,,,Batalin,kew-2771841,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dipsacus inermis,Dipsacus inermis,Dipsacus inermis,Dipsacus inermis,Caprifoliaceae,Dipsacus,NA,inermis,NA,NA,,,kew-2771864,TRUE,1.1,Accepted,Caprifoliaceae,Dipsacus,,inermis,,,Wall.,kew-2771864,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dipsacus japonicus,Dipsacus japonicus,Dipsacus japonicus,Dipsacus japonicus,Caprifoliaceae,Dipsacus,NA,japonicus,NA,NA,,,kew-2771866,TRUE,1.1,Accepted,Caprifoliaceae,Dipsacus,,japonicus,,,Miq.,kew-2771866,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dipsacus japonicus Miq.,Dipsacus japonicus Miq.,Dipsacus japonicus,Dipsacus japonicus,Caprifoliaceae,Dipsacus,NA,japonicus,NA,NA,,Miq.,kew-2771866,TRUE,1.1,Accepted,Caprifoliaceae,Dipsacus,,japonicus,,,Miq.,kew-2771866,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Dispsacus japonicus,Dispsacus japonicus,Dispsacus japonicus,Dipsacus japonicus,Caprifoliaceae,Dispsacus,NA,japonicus,NA,NA,,,kew-2771866,TRUE,1.1,Accepted,Caprifoliaceae,Dipsacus,,japonicus,,,Miq.,kew-2771866,Accepted,TRUE,FALSE,FALSE,18/04/2020,Species
Dontostemon micranthus,Dontostemon micranthus,Dontostemon micranthus,Dontostemon micranthus,Brassicaceae,Dontostemon,NA,micranthus,NA,NA,,,kew-2775375,TRUE,1.1,Accepted,Brassicaceae,Dontostemon,,micranthus,,,C.A.Mey.,kew-2775375,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
