"Species","Treatment","Germination"
"Pedicularis tuberosa","GA3",85
"Phleum rhaeticum","GA3",87.5
"Phyteuma hemisphaericum","GA3",100
"Phyteuma orbiculare","GA3",100
"Pilosella officinarum","GA3",72.7
"Poa alpina","GA3",86.8
"Polygala alpina","GA3",78.1
"Potentilla aurea","GA3",72.6
"Primula farinosa","GA3",98.2
"Pulsatilla alpina","GA3",100
"Pulsatilla vernalis","GA3",33.3
"Ranunculus montanum.","GA3",8.6
"Rhinanthus glacialis","GA3",0
"Scorzoneroides helvetica","GA3",95
"Senecio doronicum","GA3",89.4
"Serratula tinctoria","GA3",98.1
"Sesleria caerulea","GA3",94.4
"Soldanella alpina","GA3",100
"Solidago virgaurea","GA3",93
"Valeriana montana","GA3",45.3
