Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco13,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,4,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco13,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,6,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco13,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,8,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco14,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,30,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco14,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,30,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco14,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,30,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco14,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,30,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco15,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,30,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco15,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,30,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco15,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,29,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco15,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,30,30
Briceño,Luzula brachyphylla,Chile,Mocho-Choshuenco16,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,20,30
Briceño,Luzula brachyphylla,Chile,Mocho-Choshuenco16,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,29,30
Briceño,Luzula brachyphylla,Chile,Mocho-Choshuenco16,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,25,30
Briceño,Luzula brachyphylla,Chile,Mocho-Choshuenco16,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,27,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco18,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,30,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco18,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,27,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco18,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,30,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco18,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,30,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco19,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,29,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco19,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,29,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco19,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,30,30
Briceño,Cerastium arvense,Chile,Mocho-Choshuenco19,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,28,30
Briceño,Adesmia longipes,Chile,Mocho-Choshuenco20,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,20,30
Briceño,Adesmia longipes,Chile,Mocho-Choshuenco20,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,24,30
Briceño,Adesmia longipes,Chile,Mocho-Choshuenco20,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,21,30
Briceño,Adesmia longipes,Chile,Mocho-Choshuenco20,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,27,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco22,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,15,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco22,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,15,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco22,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,22,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco22,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,11,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco23,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,16,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco23,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,15,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco23,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,19,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco23,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,11,30
Briceño,Adesmia emarginata,Chile,Mocho-Choshuenco24,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,27,30
Briceño,Adesmia emarginata,Chile,Mocho-Choshuenco24,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,30,30
Briceño,Adesmia emarginata,Chile,Mocho-Choshuenco24,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,30,30
Briceño,Adesmia emarginata,Chile,Mocho-Choshuenco24,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,30,30
Briceño,Adesmia emarginata,Chile,Mocho-Choshuenco26,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,28,30
Briceño,Adesmia emarginata,Chile,Mocho-Choshuenco26,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,30,30
Briceño,Adesmia emarginata,Chile,Mocho-Choshuenco26,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,28,30
Briceño,Adesmia emarginata,Chile,Mocho-Choshuenco26,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,30,30
Briceño,Calceolaria filicaulis,Chile,Mocho-Choshuenco27,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,22,30
Briceño,Calceolaria filicaulis,Chile,Mocho-Choshuenco27,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,21,30
Briceño,Calceolaria filicaulis,Chile,Mocho-Choshuenco27,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,25,30
Briceño,Calceolaria filicaulis,Chile,Mocho-Choshuenco27,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,19,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco28,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,8,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco28,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,11,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco28,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,10,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco28,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,20,30
Briceño,Rytidosperma pictum,Chile,Mocho-Choshuenco29,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,28,30
Briceño,Rytidosperma pictum,Chile,Mocho-Choshuenco29,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,26,30
Briceño,Rytidosperma pictum,Chile,Mocho-Choshuenco29,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,25,30
Briceño,Rytidosperma pictum,Chile,Mocho-Choshuenco29,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,27,30
Briceño,Carex aphylla,Chile,Mocho-Choshuenco30,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,28,30
Briceño,Carex aphylla,Chile,Mocho-Choshuenco30,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,26,30
Briceño,Carex aphylla,Chile,Mocho-Choshuenco30,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,25,30
Briceño,Carex aphylla,Chile,Mocho-Choshuenco30,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,25,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco31,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,1,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco31,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,2,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco31,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,4,30
Briceño,Montiopsis gayana,Chile,Mocho-Choshuenco31,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,0,30
Briceño,Adesmia emarginata,Chile,Mocho-Choshuenco33,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,a,22,10,12,30,30,30
