File,Taxon,Accession,Dish,Temperature_day,Temperature_night,Photoperiod,Normal,Sown,Germinated
Venn cool fridge,Luzula acutifolia,Stirling,6,12,10,14,19,20,18
Venn cool fridge,Luzula acutifolia,Stirling,7,12,10,14,20,20,17
Venn cool fridge,Luzula acutifolia,Stirling,8,12,10,14,19,20,18
Venn cool fridge,Luzula acutifolia,Buller,1,12,10,14,10,20,10
Venn cool fridge,Luzula acutifolia,Buller,2,12,10,14,7,20,7
Venn cool fridge,Luzula acutifolia,Buller,3,12,10,14,20,20,20
Venn cool fridge,Luzula acutifolia,Buller,4,12,10,14,17,20,17
Venn cool fridge,Luzula acutifolia,Buller,5,12,10,14,20,20,18
Venn cool fridge,Luzula acutifolia,Buller,6,12,10,14,20,20,20
Venn cool fridge,Luzula acutifolia,Buller,7,12,10,14,19,20,19
Venn cool fridge,Luzula acutifolia,Buller,8,12,10,14,20,20,20
Venn cool fridge,Luzula acutifolia,Hotham,8,12,10,14,20,20,16
Venn cool fridge,Luzula acutifolia,Hotham,9,12,10,14,20,20,17
Venn cool fridge,Luzula acutifolia,Hotham,10,12,10,14,20,20,17
Venn cool fridge,Luzula acutifolia,Hotham,11,12,10,14,19,20,16
Venn cool fridge,Luzula acutifolia,Hotham,12,12,10,14,20,20,19
Venn cool fridge,Luzula acutifolia,Hotham,13,12,10,14,20,20,55
Venn cool fridge,Luzula acutifolia,Hotham,14,12,10,14,16,20,16
Venn cool fridge,Luzula acutifolia,Hotham,15,12,10,14,20,20,17
Venn cool fridge,Trisetum spicatum,Bogong,1,12,10,14,20,20,6
Venn cool fridge,Trisetum spicatum,Bogong,2,12,10,14,20,20,5
Venn cool fridge,Trisetum spicatum,Bogong,3,12,10,14,20,20,5
Venn cool fridge,Trisetum spicatum,Bogong,4,12,10,14,20,20,5
Venn cool fridge,Trisetum spicatum,Bogong,5,12,10,14,20,20,3
Venn cool fridge,Trisetum spicatum,Bogong,6,12,10,14,20,20,4
Venn cool fridge,Trisetum spicatum,Bogong,7,12,10,14,20,20,7
Venn cool fridge,Trisetum spicatum,Bogong,8,12,10,14,20,20,9
Venn cool fridge,Trisetum spicatum,Bogong,9,12,10,14,20,20,7
Venn cool fridge,Trisetum spicatum,Bogong,10,12,10,14,20,20,10
Venn cool fridge,Trisetum spicatum,Spion Kopje,1,12,10,14,20,20,14
Venn cool fridge,Trisetum spicatum,Spion Kopje,2,12,10,14,20,20,17
Venn cool fridge,Trisetum spicatum,Spion Kopje,3,12,10,14,20,20,13
Venn cool fridge,Trisetum spicatum,Spion Kopje,4,12,10,14,20,20,13
Venn cool fridge,Trisetum spicatum,Spion Kopje,5,12,10,14,19,20,14
