,Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable,mass
110,Anemone_narcissifolia,NA,NA,WARS_002/04,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,355,500,2.812
111,Anemone_narcissifolia,NA,NA,WARS_004/01,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,70,500,2.812
112,Anemone_narcissifolia,NA,NA,B_FR-2606802,France,NA,NA,NA,NA,NA,N,N,N,Y,N,22,22,0,20,2.812
113,Anthemis_cretica,NA,NA,K_156550,Greece,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,7,7,0.518
114,Aquilegia_atrata,NA,NA,PAV_LC153,Italy,NA,NA,NA,NA,NA,N,Y,N,Y,N,10,10,6,25,1.3
115,Aquilegia_atrata,NA,NA,B_FR-2606302,France,NA,NA,NA,NA,NA,N,N,N,Y,N,22,22,16,20,1.3
116,Aquilegia_einseleana,NA,NA,K_203719,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,5,5,0,20,0.92
117,Aquilegia_einseleana,NA,NA,K_203719,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,10,10,0,20,0.92
118,Aquilegia_einseleana,NA,NA,K_203719,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,0,18,0.92
119,Aquilegia_einseleana,NA,NA,K_203719,Italy,NA,NA,NA,NA,NA,N,Y,N,Y,Y,15,15,18,20,0.92
120,Aquilegia_einseleana,NA,NA,K_16737,Austria,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,15,15,32,47,0.92
121,Aquilegia_einseleana,NA,NA,PAV_BG338,Italy,NA,NA,NA,NA,NA,N,Y,N,Y,Y,15,15,45,50,0.92
122,Aquilegia_einseleana,NA,NA,K_16737,Austria,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,16,16,34,50,0.92
123,Aquilegia_einseleana,NA,NA,K_16737,Austria,NA,NA,NA,NA,NA,N,N,Y,Y,Y,16,16,37,50,0.92
124,Aquilegia_einseleana,NA,NA,K_203719,Italy,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,0,20,0.92
125,Arenaria_norvegica,NA,NA,K_115906,United-Kingdom,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,15,15,9,9,0.227
126,Arenaria_norvegica,NA,NA,K_109464,United-Kingdom,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,15,15,2,10,0.227
127,Arenaria_norvegica,NA,NA,K_109464,United-Kingdom,NA,NA,NA,NA,NA,N,Y,N,Y,Y,15,15,5,10,0.227
128,Arenaria_norvegica,NA,NA,K_109475,United-Kingdom,NA,NA,NA,NA,NA,N,N,Y,Y,Y,15,15,19,20,0.227
129,Arenaria_norvegica,NA,NA,K_115906,United-Kingdom,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,16,16,8,10,0.227
130,Arenaria_norvegica,NA,NA,K_109475,United-Kingdom,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,16,16,20,20,0.227
131,Arenaria_norvegica,NA,NA,K_109464,United-Kingdom,NA,NA,NA,NA,NA,N,Y,N,Y,N,20,20,10,10,0.227
132,Arenaria_norvegica&anglica,NA,NA,K_100357,United-Kingdom,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,15,15,7,20,0.229
133,Arenaria_norvegica&anglica,NA,NA,K_100357,United-Kingdom,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,15,15,15,20,0.229
134,Arenaria_norvegica&anglica,NA,NA,K_100357,United-Kingdom,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,16,16,20,20,0.229
135,Arenaria_norvegica&anglica,NA,NA,K_109486,United-Kingdom,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,19,20,0.229
136,Arenaria_norvegica&anglica,NA,NA,K_109486,United-Kingdom,NA,NA,NA,NA,NA,N,N,N,Y,N,21,21,20,20,0.229
137,Artemisia_eriantha,NA,NA,WARS_056/03,Poland,NA,NA,NA,NA,NA,N,N,N,Y,Y,21.66666667,21.66666667,460,500,0.712
138,Aruncus_dioicus,NA,NA,WARS_005/03,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,0,500,0.1
139,Aruncus_dioicus,NA,NA,WARS_010/03,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,410,500,0.1
140,Aruncus_dioicus,NA,NA,WARS_011/03,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,420,500,0.1
141,Aruncus_dioicus,NA,NA,WARS_012/03,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,445,500,0.1
142,Aruncus_dioicus,NA,NA,WARS_036/04,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,395,500,0.1
143,Aruncus_dioicus,NA,NA,WARS_037/04,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,290,500,0.1
144,Aruncus_dioicus,NA,NA,WARS_038/04,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,465,500,0.1
145,Aster_ibericus,NA,NA,K_368986,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,9,16,0.606
146,Aster_ibericus,NA,NA,K_368986,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,Y,15,15,16,16,0.606
147,Aster_ibericus,NA,NA,K_368986,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,6,16,0.606
148,Astragalus_australis,NA,NA,WARS_001/02,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,225,500,3.111
149,Astragalus_australis,NA,NA,WARS_043/02,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,315,500,3.111
150,Astragalus_australis,NA,NA,WARS_044/02,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,365,500,3.111
151,Astragalus_cyri,NA,NA,K_340597,Georgia,NA,NA,NA,NA,NA,Y,N,N,Y,N,15,15,10,10,4.239
152,Astragalus_cyri,NA,NA,K_340597,Georgia,NA,NA,NA,NA,NA,Y,N,N,Y,N,20,20,10,10,4.239
153,Astragalus_penduliflorus,NA,NA,WARS_005/01,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,390,500,8.731
154,Astragalus_penduliflorus,NA,NA,WARS_007/00,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,425,500,8.731
155,Aubrieta_thessala,NA,NA,BBGK_98_254,Greece,NA,NA,NA,NA,NA,N,N,N,Y,N,21,21,60,100,0.243
156,Aubrieta_thessala,NA,NA,BBGK_98_254,Greece,NA,NA,NA,NA,NA,N,N,N,N,N,21,21,80,100,0.243
157,Betula_nana,NA,NA,K_130947,United-Kingdom,NA,NA,NA,NA,NA,N,N,N,Y,N,31,31,38,41,0.318
158,Biebersteinia_orphanidis,NA,NA,NKUA_GR1-7,Greece,NA,NA,NA,NA,NA,N,N,N,N,N,5,5,0,20,39.5
159,Biebersteinia_orphanidis,NA,NA,NKUA_GR1-7,Greece,NA,NA,NA,NA,NA,N,N,N,N,N,5,5,2,100,39.5
160,Biebersteinia_orphanidis,NA,NA,NKUA_GR1-7,Greece,NA,NA,NA,NA,NA,Y,N,N,N,N,5,5,74,100,39.5
161,Biebersteinia_orphanidis,NA,NA,NKUA_GR1-7,Greece,NA,NA,NA,NA,NA,Y,N,N,N,N,5,5,82,100,39.5
162,Biebersteinia_orphanidis,NA,NA,NKUA_GR1-7,Greece,NA,NA,NA,NA,NA,N,N,N,N,N,10,10,2,100,39.5
163,Biebersteinia_orphanidis,NA,NA,NKUA_GR1-7,Greece,NA,NA,NA,NA,NA,Y,N,N,N,N,10,10,61,100,39.5
164,Biebersteinia_orphanidis,NA,NA,NKUA_GR1-7,Greece,NA,NA,NA,NA,NA,Y,N,Y,N,N,15,15,14,40,39.5
165,Biebersteinia_orphanidis,NA,NA,NKUA_GR1-7,Greece,NA,NA,NA,NA,NA,N,N,Y,N,N,15,15,0,40,39.5
166,Biebersteinia_orphanidis,NA,NA,NKUA_GR1-7,Greece,NA,NA,NA,NA,NA,Y,N,Y,N,N,25,25,22,100,39.5
167,Bupleurum_marschallianum,NA,NA,K_369237,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,N,5,5,0,20,0.993
168,Bupleurum_marschallianum,NA,NA,K_369237,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,Y,15,15,0,18,0.993
169,Bupleurum_marschallianum,NA,NA,K_369237,Georgia,NA,NA,NA,NA,NA,N,Y,N,Y,Y,15,15,9,20,0.993
170,Bupleurum_marschallianum,NA,NA,K_369237,Georgia,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,15,15,12,13,0.993
171,Calamagrostis_arundinacea,NA,NA,K_62859,Italy,NA,NA,NA,NA,NA,Y,Y,N,Y,Y,16,16,17,20,0.389
172,Calamagrostis_arundinacea,NA,NA,K_62859,Italy,NA,NA,NA,NA,NA,Y,Y,N,Y,Y,16,16,20,20,0.389
173,Calamagrostis_arundinacea,NA,NA,K_62859,Italy,NA,NA,NA,NA,NA,Y,Y,N,Y,Y,21.66666667,21.66666667,15,20,0.389
174,Calamagrostis_purpurea,NA,NA,K_129547,United-Kingdom,NA,NA,NA,NA,NA,N,N,Y,Y,Y,16,16,20,25,0.099
175,Calamagrostis_purpurea,NA,NA,K_129558,United-Kingdom,NA,NA,NA,NA,NA,N,N,Y,Y,Y,16,16,8,9,0.099
176,Campanula_alliariifolia,NA,NA,K_369606,Georgia,NA,NA,NA,NA,NA,N,Y,N,Y,Y,15,15,13,20,0.248
177,Campanula_alliariifolia,NA,NA,K_369606,Georgia,NA,NA,NA,NA,NA,N,Y,N,Y,N,15,15,15,20,0.248
178,Campanula_alliariifolia,NA,NA,K_369606,Georgia,NA,NA,NA,NA,NA,N,Y,N,Y,N,20,20,3,20,0.248
179,Campanula_hemschinica,NA,NA,K_413071,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,19,20,0.13
180,Campanula_hemschinica,NA,NA,K_413071,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,Y,15,15,20,20,0.13
181,Campanula_hemschinica,NA,NA,K_413071,Georgia,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,18,20,0.13
182,Campanula_jacquinii,NA,NA,CHAN_0240,Greece,NA,NA,NA,NA,NA,N,N,N,Y,N,10,10,22,77,0.13
183,Campanula_jacquinii,NA,NA,CHAN_0240,Greece,NA,NA,NA,NA,NA,N,N,N,N,N,15,15,45,85,0.13
184,Campanula_jacquinii,NA,NA,CHAN_0240,Greece,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,55,76,0.13
185,Campanula_jacquinii,NA,NA,K_157616,Greece,NA,NA,NA,NA,NA,N,N,N,Y,N,15,15,1,10,0.13
186,Campanula_jacquinii,NA,NA,CHAN_0240,Greece,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,65,83,0.13
187,Campanula_jacquinii,NA,NA,K_157616,Greece,NA,NA,NA,NA,NA,N,N,N,Y,N,20,20,9,10,0.13
188,Campanula_latifolia,NA,NA,K_28477,Austria,NA,NA,NA,NA,NA,N,Y,Y,Y,Y,15,15,13,20,0.29
189,Campanula_latifolia,NA,NA,K_28477,Austria,NA,NA,NA,NA,NA,N,Y,N,Y,Y,15,15,16,20,0.29
190,Campanula_latifolia,NA,NA,K_92472,United-Kingdom,NA,NA,NA,NA,NA,N,N,N,Y,N,16,16,0,50,0.29
