"TPLName","Alpine"
"Gentiana nivalis","Strict"
"Gentiana punctata","Strict"
"Gentiana verna","Generalist"
"Gentianella anisodonta","Strict"
"Geum montanum","Strict"
"Gnaphalium supinum","Strict"
"Helictochloa versicolor","Strict"
"Helictotrichon versicolor","Strict"
"Jacobaea incana","Strict"
"Juncus trifidus","Strict"
"Kobresia myosuroides","Strict"
"Leontodon hispidus","Generalist"
"Leontopodium nivale","Strict"
"Leucanthemopsis alpina","Strict"
"Linaria alpina","Strict"
"Linaria tonzigii","Strict"
"Luzula alpinopilosa","Strict"
"Luzula spicata","Strict"
"Minuartia verna","Generalist"
"Myosotis alpestris","Strict"
"Nardus stricta","Generalist"
"Oxyria digyna","Strict"
"Papaver alpinum","Strict"
"Pedicularis tuberosa","Strict"
"Phleum alpinum","Strict"
"Phyteuma hemisphaericum","Strict"
"Phyteuma sieberi","Strict"
"Pilosella officinarum","Generalist"
"Pinguicula leptoceras","Generalist"
"Poa alpina","Strict"
"Polygala alpina","Strict"
"Potentilla aurea","Strict"
"Primula farinosa","Generalist"
"Primula glaucescens","Generalist"
"Primula integrifolia","Strict"
"Ranunculus montanus","Generalist"
"Rhinanthus glacialis","Generalist"
"Rhododendron ferrugineum","Strict"
"Saponaria lutea","Strict"
"Saxifraga aizoides","Generalist"
"Saxifraga bryoides","Strict"
"Saxifraga caesia","Strict"
"Saxifraga exarata","Strict"
"Saxifraga hostii","Generalist"
"Saxifraga oppositifolia","Strict"
"Saxifraga paniculata","Generalist"
"Saxifraga stellaris","Strict"
"Scorzoneroides helvetica","Strict"
"Senecio doronicum","Strict"
"Sesleria caerulea","Generalist"
"Sesleria sphaerocephala","Strict"
"Sibbaldia procumbens","Strict"
"Silene acaulis","Strict"
"Silene suecica","Strict"
"Silene vallesia","Generalist"
"Silene vulgaris","Generalist"
"Soldanella alpina","Strict"
"Solidago virgaurea","Generalist"
"Taraxacum alpinum","Strict"
"Trifolium badium","Strict"
"Trifolium pallescens","Strict"
"Trifolium pratense","Generalist"
"Veronica allionii","Strict"
"Veronica alpina","Strict"
"Veronica aphylla","Strict"
"Veronica bellidioides","Strict"
"Veronica fruticans","Strict"
"Viola comollia","Strict"
